3509,message,"Sun, 09 Aug 2009 20:50:26 +0000","Q""EMessage not downloadedQ""E notification leads to... the compose screen??!!","Every few days I get a Notification that reads: Message not downloaded Select to review the message and try..(7:10am) I think these come from email to SMS gateways that are sending me messages that are too long. Selecting that notification leads me to a confusing place... the Q""EComposeQ""E SMS screen, with Q""E(!) Undelivered message/Unable to send this messageQ""E showing for a few seconds, before reverting to the normal compose screen. If I cancel out of that, I sometimes can get an offer to Download the message, which never works. ------------------------------------------------------------------------- Running: Updated HTC Magic, Google Ion Firmware 1.5, Kernel 2.26.27-00393 san@sandroid #1 CRB43, T-Mobile ToGo SIM without data plan, WiFi access usually enabled."
3419,calling,"Thu, 30 Jul 2009 08:26:06 +0000",[BT Car]  Parrot 3100LCD Can not autopair,"Hi I just buy a HTC Hero (Orange Spain), and I can pair with my Parrot 3100 LCD manually, but can not do it automatically. With my old Nokia N70, when enter car and start parrot, they both auto pair. With Hero this donQ'Et happend. How can I get it? I donQ'Et try to call or receive, but I also think I canQ'Et do it. Not sure, maybe when solver auto-pair problem, itQ'Es work. Thanks for help. Bye"
5327,email,"Thu, 10 Dec 2009 09:27:39 +0000",Email Application Just Returns To Homescreen,"My email application - standard one that comes with Android - all at once stopped working. I had two account operating with it, one IMAP and one POP3. However, when I tap the email icon the screen blanks black and after 0.1 to 1 second I find myself back at the home screen. I have got no idea how to possible get more information. Are there logs to be found somewhere on the phone or SD card? Phone: HTC Magic Q""Ewith GoogleQ""E Firmware version: 1.6 Baseband version: 62.50s.20.17u_2.22.19.26i Kernel version: 2.6.29-00479-g3c7df37 android-build@apa26 #19 Build number: DRC92"
5548,message,"Sun, 20 Dec 2009 22:29:23 +0000",I cannot send several SMS in the same time,"On Android 1.5 (HTC Hero) if I try to send a message (a message that is 2 SMS long) to several of my friends (from 4 to 10 persons), then the phone is not able to send all the sms and I have a message saying that it failed. So I have to re-send the messages one by one with a delay between each of them to avoid the error message again. As I was on the same phone network before with my N95 without any troubles sending several sms in the same time, I can just suppose that Android tries to do something wrong here. Maybe Android tries to open to many connections to the operator server and then it fails ? Or maybe Android is not able to handle too much sms in the same time to send ? Did you notice this issue ? Thanks."
5724,contact,"Wed, 30 Dec 2009 14:29:51 +0000","Outlook Contacts - Q""EFile asQ""E Field needed on Phone","HTC Hero - Sprint No way to list contacts in phone with a Q""Efile asQ""E field...all the older phones from HTC had that option making it easy to search for contacts in your phone if you have over 500 contact. Makes it easier to search for company groups etc.. NOTE: This form is only for reporting user bugs. For all other user discussions please visit: http://groups.google.com/group/android-discuss Please describe the problem in detail. Be sure to include: - Steps to reproduce the problem. - What happened. - What you think the correct behavior should be. DonQ'Et forget to mention which device you have, and which version of Android is installed on it. (Find it under Home Q>E Menu Q>E Settings Q>E About phone.) If you happen to have a development environment, please also run Q""Eadb bugreportQ""E and archive the output as it could help diagnose the problem."
5159,video,"Wed, 02 Dec 2009 14:39:25 +0000",Multiple audio track support in mp4 playback,"If the mp4 media file includes more then one audio track, eg. from a converted DVD, there is no way of choosing what audio track to use for playback. The mediaplayer chooses the second track (last track?) by default. An option to choose what track to use would be helpful. Discovered on Android 1.5 (HTC Hero)"
3761,contact,"Wed, 02 Sep 2009 18:45:52 +0000",Contacts crash when opening,"Hi, I cant reproduce the code, i only know my problem is common in internet. I have a HTC Magic telephone, vodafone. The steps: Always I try open Contacts, drop the error: android.process.acore This error appear since 2 weeks, I added photos in contacts and facebook syncs, and maybe other info... I have my contacts sync with gmail. So, the only way I have to open a single contact, is with the call button... very bad thing... I hope this will help you with android, Un saludo, Nacho."
3439,email,"Sun, 02 Aug 2009 08:59:17 +0000","Gmail default groups arenQ'Et imported (family, friends and collegues)","Sorry if I shouldnQ'Et post this here first of all, if so please tell me where I should do it. IQ'Em a new android user and after having filled all my contacts into my gmail account, then IQ'Eve imported them to my phone (HTC Hero). Contacts are imported, but the default groups called Q""EfamilyQ""E Q""EfriendsQ""E and Q""EcolleguesQ""E arenQ'Et created in the android phone. Now, close to all my contacts have no group in my phone. On the other side, 2 groups IQ'Eve created manualy were imported without any problem."
4357,time,"Sun, 25 Oct 2009 02:49:49 +0000",Time Zone is incorrect CST (Cental Standard Time),I have an HTC Hero and I am located in Chicago Illinois and the current time zone is CST (Central Standard Time) which is -6 GMT - The automatic time/date sync with sprint shows my time -5 GMT and when I try to manually set the time zone to Central it shows -5 GMT - This is incorrect and is show and hour difference between the my computer calendar and the phone
3361,network,"Thu, 23 Jul 2009 23:12:09 +0000",CanQ'Et get 3G access in ArgentinaQ'Es Movistar,"Hi, I have a telephone with Android (firmware: 1.5, baseband version: 62.50S.20.17H_2.22.19.26I, kernel version: 2.6.27-00393-g6607056) which wonQ'Et connect to my cell phone provider using 3G, it uses EDGE or GPRS. I know it could be a problem with the phone company, but I see that other phones with the SAME 3G modem (AFAIK) do get connected, but this other phone uses windows mobile. I have the US version of HTC T-Mobile G1 (http://www.htc.com/www/product/g1/specification.html) The phone that I see works fine with the same provider is the HTC TyTN2 (http://www.gsmarena.com/htc_tytn_ii-2024.php) Movistar in Argentina has a HSDPA network http://en.wikipedia.org/wiki/List_of_HSDPA_networks#A Since this phone is NOT supported by the company they wonQ'Et give me any answers. The APN values are correct because I do get connected to the internet service, it is just very, very slow. For the record: MCC: 722 MNC: 07 Is there anything I can test? I DO NOT have the Q""Euse only 2G networksQ""E marked on the androidQ'Es configuration mobile network setup. thanks for any tips or advices. daniel///"
2517,network,"Mon, 27 Apr 2009 08:52:30 +0000",[Framework] Incomplete implementation of LocationManagerService.java while using wireless network in Google map.,"After Android 1.5 release, we compare the source code related to locationing service. We discover that in recent version frameworks, the LocationMasfClient class was removed and the NetworkLocationProvider class was redesigned as a interface Q""EINetworkLocationManagerQ""E. The funny thing is this interface is never implemented. And a method which is responsible to add network provider into list is never called. This resulted in exception while locationing in google map with wireless network locationing. However, similar function works perfectly after update G1 image to Magic. After adb into Magic /system/app, we discover that there is a NetworkProvider.apk there. Then, we dexdump this apk and found the Holy Grail, the LocationMasfClient, INetworkLocationManager, and some key methods are implemented in this apk. Here is out questions: 1. Will Google release this apk as Open source? 2. not, how long developer must wait for to get a complete framework? 3. Does Google just implement this as an library and release it with Google map? 4. Or this apk is just implement by HTC and developer need to do the same thing?? Thanks!! By Edward"
